arms_category,0,1,2,3,4
manner_of_death_shot,0.07426841122886668,-0.052557266468261116,0.03023004378269005,-0.025407421772165466,0.016779458747549224
manner_of_death_shot and Tasered,-1.3916343023408992,0.9848129728951968,-0.566447634911942,0.47608181038408615,-0.31441187419298544
age_12.0,-0.8377898341019338,0.5494937921388016,0.46531941275143773,0.24896202367445225,-3.2829591280982484
age_13.0,1.028506486250053,0.6148748542258873,-4.794925712684917,4.370048913391849,-2.9175985109118
age_14.0,-0.6250294284422039,2.565808152255766,-2.6053112702202803,-1.594205618192757,3.4957848425220512
age_15.0,0.25399090625628823,0.6129831111931705,-1.279265847297859,0.1392367994326817,-0.6246224566854514
age_16.0,0.27816921464186345,0.7722436979658677,-0.35677885876196086,0.346852683788111,-0.5482829383510102
age_17.0,0.7153965828490996,0.33648207806103897,-0.5147242022078041,0.420572819280007,-0.9045019662235446
age_18.0,0.6739518865232832,0.4198900983483612,-0.6845388732548376,0.5052616173815272,0.07817510797561894
age_19.0,1.2514457173032856,0.5865617779156114,-0.5462346302513922,-0.07781671794706192,-0.04500325528320627
age_20.0,0.482269981546681,0.49104388208038136,-0.2538318082603059,0.6727048290101143,-0.10874590938089776
age_21.0,0.8067191504839015,0.389319601169768,-0.982244542873369,0.1376559513077536,-0.0829756899297993
age_22.0,0.1272782402004603,0.7031433514448734,-0.38027298891766126,0.10131274601997942,-0.010251338306337454
age_23.0,0.305161306015095,0.29763120514713814,-0.7286908343390043,0.05341659703922595,-0.2962685040061681
age_24.0,0.6407105644516687,0.19402715144423888,-0.36008054191183947,0.04903461711140074,0.06348974199103483
age_25.0,0.12268286951860424,0.2719695662908274,-0.07840515631412884,0.37221621935107485,-0.2889513675679195
age_26.0,0.1348635092175863,0.1953084849726753,0.05425653987390601,0.05406869635184054,0.45512158353898335
age_27.0,0.3037934666213975,0.5425109042091921,-0.1313008942259326,0.14553514685141866,-0.046648982690888206
age_28.0,0.3093464882080822,0.23665685548798446,0.11067800501218542,-0.22649989157402112,-0.14328358647239944
