category,0,1,2,3,4,5,6,7,8,9
manner_of_death_shot,-0.080369384440236,-0.0491311868264328,-0.04048328704084591,0.04232631344879702,-0.01714213773697642,0.05856806239490963,0.0504326064429548,-0.035720568175123764,0.025282248060328718,-0.03225228736611678
manner_of_death_shot and Tasered,1.50595374795878,0.9206154241227148,0.7585719148339204,-0.793106365308709,0.32120771799891,-1.0974426852788122,-0.9450012989532685,0.6693285496362913,-0.47373631748527395,0.6043402394771948
age_0-18,-0.47051377242354603,0.5603383132767691,1.0106326031331743,-0.16857627198620567,-0.2511827536388299,-0.486015642697487,1.5635256904284187,-0.5333642078083073,-0.200706162719098,0.7003435998662488
age_19-25,-0.44144565694460164,0.43890327971831833,0.5684022391770468,-0.11524877185720754,0.11053641045852751,0.4192951756761355,0.35134641513955994,0.6191684914400875,0.19304261914551035,-0.1158849159086882
age_26-35,-0.1062746222947547,0.1612889264266452,0.08320117846913755,0.1716774641684902,0.07248256475205707,0.2503480851179079,-0.4067872387166096,-0.36072852383736026,0.06968490927484355,0.1734709641947245
age_36-50,0.1587317746544129,0.008766426972189009,-0.2957234525879221,0.029247309209045308,0.13657437059024127,-0.4045414872975169,-0.07262845427402309,0.0014819050321467878,-0.3123055698040975,-0.16242607241366835
age_51-75,0.5118821965590337,-0.9689393102054988,-0.43905068160288324,-0.26893583503959717,-0.4833261059922059,-0.008497850637389594,0.23397118274700227,0.07969700109372375,0.34658212800811516,-0.18396273153546686
age_76+,0.3774279513276149,-1.8165397932267147,-0.7923107586162469,0.29613575907178036,-1.0327040080042946,-0.365965242430388,-0.4109326901903838,3.4578588546410827,0.3631625780916258,3.182186309953073
gender_F,0.29646490056212266,-0.07450429167727894,-0.7822206391336052,-0.8129874715401935,1.5162372797256993,1.1140150991947282,0.8185278789995577,-0.26468651212755273,-1.534013096966424,-0.30070813188291545
gender_M,-0.014084144644723006,0.0035394720206197335,0.037160920583706764,0.03862255910163126,-0.07203181598525678,-0.05292346501631284,-0.038885766988637153,0.01257445018025184,0.07287629093228028,0.014285727643485322
race_Asian,1.3016165254635383,0.856227661881401,0.37596007065162773,0.27210524878168185,0.31841155472695015,-0.8219660496743197,-0.04947687491783787,-3.515688638093645,0.5093668859890796,-0.6756514037270164
race_Black,-0.5642661288567039,0.034199845824248294,0.9641973087926354,-0.5852945524310438,0.054834761347564896,-0.09389400621681383,-0.028410650490141656,0.056197059814416056,-0.01882825680513052,-0.1833588436842955
race_Hispanic,0.13470308205851153,0.9564653815323254,-0.1758938317176478,1.1258534821439727,-0.032570692746113704,-0.3482731777577882,0.4247044263048628,0.38057346212153687,0.0020213346263563666,-0.21491149942501558
race_Native,-0.010506894690129552,0.8211481773120625,-0.09486256098719117,1.5673215009119934,-0.06344605427505992,3.4722222998741485,-2.7705809636314367,-0.114193922724963,-0.18687335073122333,0.10466195855785301
race_Other,0.5643777201599879,1.0362506748953955,0.08031002219372954,0.01856477067078396,1.8994833081932048,-0.2785201886912474,0.1405179476453481,-1.9257987862037962,3.4932767824268898,3.6350164474418567
race_White,0.18723518804089923,-0.44448381938704445,-0.4540758313741601,-0.16326958240646133,-0.06366536208464053,0.10298679268726052,-0.05341056750692564,0.0048802360986672745,-0.07183216926347097,0.12602629639962443
region_East North Central,-0.0816000770869408,-0.3559763015528122,0.5199711895699359,-0.5422235357819166,-0.23051216725928178,0.45090948898524696,0.3103022102255486,-0.35429354828792875,0.7406196607733112,-0.5854877637344442
region_East South Central,-0.3860815870576167,-0.6332822030202504,-0.6108779419075627,-0.49905560699741014,-0.2742012723148445,-0.1825878283728425,-0.38525194384947203,-0.9922116585708206,-0.7853726568069404,0.5118301232342625
region_Middle Atlantic,0.05340239575289581,-0.2790957482352953,0.8132737373483032,-0.7046381890734255,-0.032555840319742235,-0.8885357640483562,-0.49169700568240055,0.26151736245014523,-0.12018217732218922,-0.27206917643206197
region_Mountain,-0.017318811142254954,0.2877257415944694,-0.5421686953358964,1.1457126160432045,-0.1767347860700309,0.6576510377878764,-0.11714160557458198,0.9546819496998394,-0.1662013607913219,-0.31660859783412537
region_New England,0.30275328052715766,-0.07917825504862984,-0.6985354993737742,-0.44310157711321,-0.4214719876444503,-0.11457422274960566,0.567627893739428,1.578697439319824,2.0683277859291382,3.9261671056915564
region_Pacific,0.48964874426745103,0.8216170411055925,-0.07213683274042841,0.4927959920643085,0.18102779007537353,-0.18508697601949572,0.5232040826944729,-0.8103594976005009,0.2861103391551267,0.07096046614970948
region_South Atlantic,-0.09807470537370372,-0.447199509713827,0.29504300173379583,-0.6175392506067087,0.03502329006644816,-0.04362785993501691,0.2689509067445122,0.45709762612731497,0.36503585678015815,-0.3100422374187524
region_West North Central,-0.25301804676473133,-0.3245133819216966,-0.1112712669637814,-0.17944953243252212,0.3617288050078517,1.4296599447190712,-1.2589407953339193,-0.8191458160664602,-0.23459770548242057,0.8210029385491568
region_West South Central,-0.19892270665389786,0.01872543345416693,0.05707600171346666,0.03564766066067662,0.08926181547667673,-0.8212255278425958,-0.3092941614521279,0.3388232859356149,-0.9100318495760213,-0.03224586725277813
signs_of_mental_illness_No,-0.28811324528999666,0.09802238951163907,0.03270724245345745,0.072607564837448,0.015780398503480883,-0.10310330072519872,-0.06300292728272303,-0.019763366225432163,0.04845003917813777,-0.027563782260498132
signs_of_mental_illness_Yes,0.9905035595101257,-0.3369908440871581,-0.11244411911469564,-0.24961730359347503,-0.05425137907996311,0.35445849170440014,0.21659755236272538,0.0679444104504433,-0.16656622716545666,0.09476143457099602
